valor,inicio,num_apostas,valorApostado,valorGanho,diferenca,result,minutos_decorridos,dia,mes,dia_da_semana
1.5,1754141952,8198,38965.98,-2055.7,36910.28,0,639,2,8,5
3.56,1754141977,5749,38893.63,-46294.48,-7400.85,1,639,2,8,5
2.15,1754141998,8441,37842.36,-16566.65,21275.71,1,639,2,8,5
4.98,1754142027,6138,28674.14,-45510.89,-16836.75,1,640,2,8,5
12.36,1754142058,8605,32516.74,-90812.78,-58296.04,1,640,2,8,5
1.14,1754142095,8578,33091.45,-1393.98,31697.47,0,641,2,8,5
1.18,1754142115,6148,33108.71,-196.64,32912.07,0,641,2,8,5
20.23,1754142128,5729,27165.01,-81202.19,-54037.18,1,642,2,8,5
2.2,1754142172,8621,36931.63,-21532.75,15398.88,1,642,2,8,5
1.01,1754142200,6537,29725.58,-0.0,29725.58,0,643,2,8,5
1.48,1754142212,5162,27496.43,-920.48,26575.95,0,643,2,8,5
1.67,1754142225,6898,35602.14,-7090.1,28512.04,0,643,2,8,5
1.24,1754142248,5857,39799.52,-448.41,39351.11,0,644,2,8,5
1.0,1754142260,6145,26752.96,-0.0,26752.96,0,644,2,8,5
1.71,1754142272,5853,31461.98,-4979.76,26482.22,0,644,2,8,5
1.16,1754142289,6174,26629.74,-72.46,26557.28,0,644,2,8,5
1.0,1754142302,6238,32583.39,-0.0,32583.39,0,645,2,8,5
2.39,1754142313,6381,29721.18,-17396.35,12324.83,1,645,2,8,5
1.02,1754142332,6901,34424.67,-3.27,34421.4,0,645,2,8,5
1.15,1754142349,6559,34495.89,-127.25,34368.64,0,645,2,8,5
2.67,1754142363,6996,36503.1,-23588.27,12914.83,1,646,2,8,5
1.04,1754142384,7496,38520.87,-11.42,38509.45,0,646,2,8,5
4.88,1754142400,6590,34298.12,-57010.76,-22712.64,1,646,2,8,5
1.01,1754142431,7980,39073.61,-0.0,39073.61,0,647,2,8,5
1.32,1754142449,5559,38376.85,-604.79,37772.06,0,647,2,8,5
3.31,1754142463,5806,32522.57,-37414.91,-4892.34,1,647,2,8,5
1.21,1754142484,7800,35946.76,-766.29,35180.47,0,648,2,8,5
1.1,1754142506,5628,29619.4,-120.55,29498.85,0,648,2,8,5
1.14,1754142519,6328,35577.05,-811.87,34765.18,0,648,2,8,5
1.92,1754142537,5599,35577.98,-8801.55,26776.43,0,648,2,8,5
6.46,1754142559,5869,42608.0,-71341.77,-28733.77,1,649,2,8,5
32.58,1754142594,6954,35520.12,-111390.39,-75870.27,1,649,2,8,5
3.23,1754142653,7265,31671.05,-32576.92,-905.87,1,650,2,8,5
1.56,1754142678,7014,33210.65,-6045.37,27165.28,0,651,2,8,5
1.07,1754142704,5643,27962.39,-99.42,27862.97,0,651,2,8,5
1.51,1754142716,5640,26533.7,-2887.96,23645.74,0,651,2,8,5
1.4,1754142739,5643,34127.87,-2407.98,31719.89,0,652,2,8,5
2.39,1754142754,6392,34215.35,-26777.61,7437.74,1,652,2,8,5
1.27,1754142779,6930,37922.4,-673.29,37249.11,0,652,2,8,5
2.34,1754142800,6228,30903.24,-21089.59,9813.65,1,653,2,8,5
6.82,1754142822,6177,29524.97,-54299.63,-24774.66,1,653,2,8,5
4.08,1754142859,7678,42040.81,-60208.95,-18168.14,1,654,2,8,5
5.35,1754142893,7548,32701.11,-60222.42,-27521.31,1,654,2,8,5
6.73,1754142930,8121,34506.32,-78278.19,-43771.87,1,655,2,8,5
1.62,1754142966,8038,33592.17,-3985.4,29606.77,0,656,2,8,5
3.71,1754142993,5871,29149.86,-35945.78,-6795.92,1,656,2,8,5
7.8,1754143018,8067,36323.54,-79856.04,-43532.5,1,656,2,8,5
1.28,1754143060,8411,40138.71,-1910.92,38227.79,0,657,2,8,5
1.95,1754143084,5926,29514.75,-6017.59,23497.16,0,658,2,8,5
2.16,1754143105,5935,34030.35,-21985.74,12044.61,1,658,2,8,5
1.58,1754143132,6740,36482.24,-3883.22,32599.02,0,658,2,8,5
2.9,1754143150,6215,27265.0,-26682.73,582.27,1,659,2,8,5
135.12,1754143172,7919,34549.05,-140283.67,-105734.62,1,659,2,8,5
1.05,1754143246,7715,36328.82,-81.42,36247.4,0,660,2,8,5
55.74,1754143262,5159,32324.68,-108338.65,-76013.97,1,661,2,8,5
1.07,1754143317,7930,37177.1,-76.19,37100.91,0,661,2,8,5
1.36,1754143336,5456,34683.9,-1043.17,33640.73,0,662,2,8,5
1.15,1754143348,5747,26580.66,-261.51,26319.15,0,662,2,8,5
2.21,1754143362,5772,30583.11,-14992.86,15590.25,1,662,2,8,5
1.04,1754143379,7071,33369.32,-2.18,33367.14,0,662,2,8,5
1.37,1754143396,6244,27431.68,-723.83,26707.85,0,663,2,8,5
1.16,1754143411,6429,34145.3,-382.12,33763.18,0,663,2,8,5
1.14,1754143425,6009,36528.63,-202.54,36326.09,0,663,2,8,5
2.52,1754143438,6073,30286.53,-26128.35,4158.18,1,663,2,8,5
1.06,1754143460,7308,33645.17,-97.95,33547.22,0,664,2,8,5
1.03,1754143478,5645,28615.96,-8.72,28607.24,0,664,2,8,5
1.55,1754143489,5640,29568.19,-2694.46,26873.73,0,664,2,8,5
1.31,1754143504,5681,34422.43,-1983.07,32439.36,0,665,2,8,5
1.83,1754143519,5528,32198.27,-6927.38,25270.89,0,665,2,8,5
2.17,1754143537,5622,39114.43,-23129.65,15984.78,1,665,2,8,5
2.41,1754143557,5828,35720.3,-28637.74,7082.56,1,665,2,8,5
1.62,1754143580,6235,33396.31,-7065.92,26330.39,0,666,2,8,5
1.25,1754143600,5475,32903.1,-873.48,32029.62,0,666,2,8,5
1.0,1754143611,4871,30411.55,-0.0,30411.55,0,666,2,8,5
2.44,1754143621,4506,28638.33,-19883.0,8755.33,1,667,2,8,5
56.49,1754143642,5401,38063.35,-128928.38,-90865.03,1,667,2,8,5
5.49,1754143703,6180,27993.92,-46963.99,-18970.07,1,668,2,8,5
1.72,1754143736,6639,29792.93,-6747.61,23045.32,0,668,2,8,5
2.63,1754143758,4953,23519.73,-18724.25,4795.48,1,669,2,8,5
2.01,1754143778,6859,38873.43,-17938.38,20935.05,1,669,2,8,5
2.42,1754143802,5859,36581.29,-29364.44,7216.85,1,670,2,8,5
2.16,1754143821,6853,30686.2,-21112.28,9573.92,1,670,2,8,5
1.2,1754143841,6944,32304.63,-1071.8,31232.83,0,670,2,8,5
11.51,1754143859,6222,32048.97,-73088.71,-41039.74,1,670,2,8,5
4.86,1754143898,7417,35932.25,-56619.21,-20686.96,1,671,2,8,5
1.93,1754143933,7534,39072.61,-11029.72,28042.89,0,672,2,8,5
1.69,1754143956,6516,32923.51,-6049.49,26874.02,0,672,2,8,5
1.21,1754143973,6530,28922.49,-897.86,28024.63,0,672,2,8,5
1.61,1754143990,5468,36242.04,-5504.86,30737.18,0,673,2,8,5
7.36,1754144002,6430,35171.68,-72037.67,-36865.99,1,673,2,8,5
1.42,1754144040,7835,45925.66,-3970.04,41955.62,0,674,2,8,5
65.03,1754144060,5946,36085.05,-117192.64,-81107.59,1,674,2,8,5
2.21,1754144118,7380,35790.55,-23442.19,12348.36,1,675,2,8,5
4.22,1754144144,5399,29229.35,-37812.83,-8583.48,1,675,2,8,5
1.66,1754144173,8025,36908.8,-8002.24,28906.56,0,676,2,8,5
3.98,1754144194,6055,30620.68,-40067.34,-9446.66,1,676,2,8,5
1.31,1754144220,8255,43529.17,-2047.67,41481.5,0,677,2,8,5
1.07,1754144237,6372,37272.87,-692.66,36580.21,0,677,2,8,5
1.52,1754144250,6103,33460.68,-3429.72,30030.96,0,677,2,8,5
1.45,1754144268,6627,36563.41,-5942.98,30620.43,0,677,2,8,5
5.93,1754144286,6681,35053.49,-66309.56,-31256.07,1,678,2,8,5
1.02,1754144318,7702,35547.72,-2.18,35545.54,0,678,2,8,5
3.76,1754144334,6885,33194.18,-41916.25,-8722.07,1,678,2,8,5
2.58,1754144358,6922,29221.1,-24961.14,4259.96,1,679,2,8,5
4.76,1754144382,7699,36397.74,-62559.42,-26161.68,1,679,2,8,5
1.0,1754144416,7912,32425.88,-0.0,32425.88,0,680,2,8,5
11.48,1754144429,5916,31224.04,-84565.46,-53341.42,1,680,2,8,5
1.0,1754144466,8057,39479.57,-0.0,39479.57,0,681,2,8,5
23.76,1754144484,6210,33695.5,-87388.18,-53692.68,1,681,2,8,5
2.05,1754144532,7525,29395.16,-14039.46,15355.7,1,682,2,8,5
2.11,1754144558,6375,34406.21,-21298.59,13107.62,1,682,2,8,5
3.03,1754144576,6797,35924.77,-43474.85,-7550.08,1,682,2,8,5
6.45,1754144599,8263,44629.4,-85079.61,-40450.21,1,683,2,8,5
7.26,1754144638,8497,37247.85,-89813.59,-52565.74,1,683,2,8,5
1.04,1754144672,8661,38797.51,-11.91,38785.6,0,684,2,8,5
1.31,1754144687,6974,36948.8,-1432.48,35516.32,0,684,2,8,5
1.41,1754144703,5185,27493.87,-3743.8,23750.07,0,685,2,8,5
1.11,1754144713,6908,33365.71,-40.3,33325.41,0,685,2,8,5
2.82,1754144731,6014,31884.34,-28869.69,3014.65,1,685,2,8,5
1.08,1754144751,8397,41757.37,-19.2,41738.17,0,685,2,8,5
1.16,1754144771,6394,27268.06,-356.6,26911.46,0,686,2,8,5
1.13,1754144784,6509,27826.74,-307.26,27519.48,0,686,2,8,5
1.26,1754144798,5911,30305.51,-545.24,29760.27,0,686,2,8,5
1.55,1754144812,5892,33515.61,-4094.48,29421.13,0,686,2,8,5
1.14,1754144829,5827,34555.35,-144.3,34411.05,0,687,2,8,5
1.56,1754144841,5119,28901.6,-4688.61,24212.99,0,687,2,8,5
1.81,1754144855,5092,34390.14,-9410.6,24979.54,0,687,2,8,5
4.31,1754144875,5267,33543.74,-49062.24,-15518.5,1,687,2,8,5
1.48,1754144903,6282,34013.14,-3467.18,30545.96,0,688,2,8,5
